< > 		<string>最近使用したドキュメントを開く</string>
< > 		<string>選択範囲から同期</string>
> > 		<string>선택 항목에서 기본값 동기화</string>
< > 		<string>背面</string>
< < 		<string>Edit Wrap Outline</string>
< > 		<string>回り込み境界を編集</string>
< < 		<string>Delete Pages…</string>
< > 		<string>ページを削除…</string>
< < 		<string>Baseline Grid Manager…</string>
< > 		<string>ベースライングリッドマネージャー…</string>
< < 		<string>Double Dagger</string>
< > 		<string>ダブルダガー</string>
< < 		<string>Next Frame Page Number</string>
< > 		<string>次のフレームページ番号</string>
> > 		<string>뒤로</string>
< > 		<string>段落スタイルを作成</string>
> > 		<string>문단 스타일 생성</string>
< > 		<string>分散禁止ハイフン</string>
> > 		<string>줄 바꿈 없는 하이픈</string>
< > 		<string>左に回転</string>
< < 		<string>Save Restricted As… </string>
< > 		<string>制約付きの名前を変更して保存… </string>
< < 		<string>Printed or Exported Date</string>
< > 		<string>プリントまたは書き出し日</string>
> > 		<string>왼쪽으로 회전</string>
< > 		<string>カーブに変換</string>
< < 		<string>Copy Page</string>
< > 		<string>ページのコピー</string>
> > 		<string>곡선으로 전환</string>
< > 		<string>文字スタイルを削除</string>
< < 		<string>Frame Break</string>
< > 		<string>改フレーム</string>
> > 		<string>문자 스타일 지우기</string>
< > 		<string>レベル</string>
< < 		<string>View Masters</string>
< > 		<string>マスターを表示</string>
> > 		<string>레벨</string>
< > 		<string>打ち消し線</string>
> > 		<string>취소선</string>
< > 		<string>ベーススタイルを再適用</string>
> > 		<string>기본 스타일 다시 적용</string>
< > 		<string>拡大</string>
> > 		<string>크게</string>
< > 		<string>グリフブラウザを表示</string>
> > 		<string>글리프 브라우저 보기</string>
< > 		<string>著作権</string>
< < 		<string>Allow editing of master frame content only</string>
< > 		<string>マスターフレームコンテンツの編集のみを許可</string>
< < 		<string>Edit the selected or spread master in detached mode</string>
< > 		<string>リンクモードで選択範囲またはスプレッドマスターを編集します</string>
< < 		<string>Edit the selected or spread master in linked mode</string>
< > 		<string>切り離しモードで選択範囲またはスプレッドマスターを編集します</string>
> > 		<string>저작권</string>
< > 		<string>ペルソナ</string>
< > 		<string>ペルソナ</string>
> > 		<string>페르소나</string>
< > 		<string>サービス</string>
< > 		<string>サービス</string>
> > 		<string>서비스</string>
< > 		<string>ファイル</string>
< > 		<string>ファイル</string>
< > 		<string>最近使用したドキュメントを開く</string>
< > 		<string>共有</string>
> > 		<string>파일</string>
< > 		<string>編集</string>
< > 		<string>編集</string>
> > 		<string>편집</string>
< > 		<string>デフォルト</string>
< > 		<string>デフォルト</string>
> > 		<string>기본값</string>
< > 		<string>ドキュメント</string>
< > 		<string>ドキュメント</string>
> > 		<string>문서</string>
< > 		<string>テキスト</string>
< > 		<string>テキスト</string>
> > 		<string>텍스트</string>
< > 		<string>文字の特性</string>
< > 		<string>文字の特性</string>
> > 		<string>문자 특성</string>
> > 		<string>문자 특성</string>
< > 		<string>サイズ</string>
< > 		<string>サイズ</string>
> > 		<string>크기</string>
< > 		<string>間隔</string>
< > 		<string>間隔</string>
> > 		<string>간격</string>
< > 		<string>合字</string>
< > 		<string>合字</string>
> > 		<string>합자</string>
< > 		<string>ベースライン</string>
< > 		<string>ベースライン</string>
> > 		<string>기준선</string>
< > 		<string>大文字に変更</string>
< > 		<string>大文字に変更</string>
< < 		<string>List</string>
< > 		<string>リスト</string>
< > 		<string>リスト</string>
> > 		<string>대문자화</string>
> > 		<string>대문자화</string>
< > 		<string>整列</string>
< > 		<string>整列</string>
> > 		<string>정렬</string>
< > 		<string>段落の行送り</string>
< > 		<string>段落の行送り</string>
> > 		<string>줄 간격</string>
> > 		<string>줄 간격</string>
< > 		<string>垂直方向揃え</string>
< > 		<string>垂直方向揃え</string>
> > 		<string>세로 정렬</string>
> > 		<string>세로 정렬</string>
< > 		<string>テキストスタイル</string>
< > 		<string>テキストスタイル</string>
< < 		<string>Insert </string>
< > 		<string>挿入 </string>
< > 		<string>挿入 </string>
< < 		<string>Fields</string>
< > 		<string>フィールド</string>
< > 		<string>フィールド</string>
> > 		<string>텍스트 스타일</string>
> > 		<string>텍스트 스타일</string>
< > 		<string>シンボル</string>
< > 		<string>シンボル</string>
< < 		<string>Maths</string>
< > 		<string>数学記号</string>
< > 		<string>数学記号</string>
< < 		<string>Quotation Marks</string>
< < 		<string>Quotation Marks</string>
< > 		<string>引用符</string>
< > 		<string>引用符</string>
< < 		<string>Dashes and Hyphens</string>
< < 		<string>Dashes and Hyphens</string>
< > 		<string>ダッシュとハイフン</string>
< > 		<string>ダッシュとハイフン</string>
< < 		<string>Spaces and Tabs</string>
< < 		<string>Spaces and Tabs</string>
< > 		<string>スペースとタブ</string>
< > 		<string>スペースとタブ</string>
< < 		<string>Breaks</string>
< > 		<string>区切り</string>
< > 		<string>区切り</string>
< < 		<string>Expand</string>
< > 		<string>展開</string>
< > 		<string>展開</string>
> > 		<string>상징</string>
< > 		<string>インタラクティブ</string>
< > 		<string>インタラクティブ</string>
< < 		<string>Table of Contents</string>
< > 		<string>目次</string>
< < 		<string>Index</string>
< > 		<string>インデックス</string>
< > 		<string>インデックス</string>
> > 		<string>상호작용</string>
> > 		<string>상호작용</string>
< > 		<string>テキストの回り込み</string>
< > 		<string>テキストの回り込み</string>
> > 		<string>줄바꿈</string>
< > 		<string>スペル設定</string>
< > 		<string>スペル設定</string>
< < 		<string>Table</string>
< > 		<string>表</string>
< > 		<string>表</string>
> > 		<string>철자</string>
< > 		<string>並べ替え</string>
< > 		<string>並べ替え</string>
> > 		<string>정렬</string>
< > 		<string>レイヤー</string>
< > 		<string>レイヤー</string>
> > 		<string>레이어</string>
< > 		<string>重ね順</string>
< > 		<string>重ね順</string>
< > 		<string>整列</string>
< > 		<string>整列</string>
> > 		<string>순서</string>
< > 		<string>ジオメトリ</string>
< > 		<string>ジオメトリ</string>
> > 		<string>기하</string>
< > 		<string>変形</string>
< > 		<string>変形</string>
> > 		<string>변형</string>
< > 		<string>挿入</string>
< > 		<string>挿入</string>
> > 		<string>삽입</string>
< > 		<string>新規調整</string>
< > 		<string>新規調整</string>
< < 		<string>Master Page</string>
< < 		<string>Master Page</string>
< > 		<string>マスターページ</string>
< > 		<string>マスターページ</string>
< < 		<string>Resources</string>
< > 		<string>リソース</string>
< > 		<string>リソース</string>
> > 		<string>신규 조정</string>
> > 		<string>신규 조정</string>
< > 		<string>塗りつぶしモード</string>
< > 		<string>塗りつぶしモード</string>
> > 		<string>칠 모드</string>
< > 		<string>選択</string>
< > 		<string>選択</string>
> > 		<string>선택</string>
< > 		<string>表示</string>
< > 		<string>表示</string>
< > 		<string>ズーム</string>
< > 		<string>ズーム</string>
> > 		<string>뷰</string>
< > 		<string>回転</string>
< > 		<string>回転</string>
> > 		<string>회전</string>
< > 		<string>表示モード</string>
< > 		<string>表示モード</string>
< > 		<string>ビュー</string>
< > 		<string>スタジオ</string>
> > 		<string>뷰 모드</string>
< > 		<string>スタジオプリセット</string>
> > 		<string>작업실 미리 설정</string>
< > 		<string>ウィンドウ</string>
< > 		<string>ウィンドウ</string>
> > 		<string>윈도우</string>
< > 		<string>すべて前面に移動</string>
> > 		<string>모두 앞으로 가져오기</string>
< > 		<string>ヘルプ</string>
< > 		<string>ヘルプ</string>
< < 		<string>Debug</string>
< > 		<string>デバッグ</string>
< > 		<string>デバッグ</string>
> > 		<string>도움말</string>
